"","Paper I.D.","First author","Paper name","Journal","Year","weblink","focal frugivore species","focal plant species","geographic location","country","location1","location2","location3","feeding trial? ","collect scat samples & germinate? ","notes"
"83","Barnea, A. Functional Ecology 1991","Barnea, A. ","Does ingestion by birds affect seed germination?","Functional Ecology",1991,"http://www.jstor.org.proxy.lib.iastate.edu/stable/2389811?seq=2#page_scan_tab_contents","bulbuls (Pycnonotus xanthopygus), blackbirds (turdus merula)","Arum hygrophilum, Asparagus aphyllus, Ephedra campylopoda, Morus nigra, Morus alba, Myrtas communis, Rhamnus alaternus, Rhamnus palaestinus, Rubia tenuifolia, Rubas sanctus, Smilax aspera, Tamus communis, Tamus orientalis, Viscum cruciatum","Isreal","Isreal","Mainland","Old World","Mainland","yes","yes","Ingestion increased germination"
"84","Wotton, D. New Zealand Journal of Botany 2002","Wotton, D.","Effectiveness of the common gecko (Hoplodactylus maculatus) as a seed disperser on Mana Island, New Zealand","New Zealand Journal of Botany",2002,"http://www.tandfonline.com/doi/abs/10.1080/0028825X.2002.9512820","common gecko (Hoplodactylus maculatus)","Coprosma propinqua","Mana Island, New Zealand","New Zealand","Island","Old World","Island","yes","no","Ingestion had no effect on germination"
"85","Barnea, A. Acta Oecologica 1992","Barnea, A. ","Effect of frugivorous birds on seed dispersal and germination of multi-seeded fruits","Acta Oecologica",1992,"http://www.cabdirect.org/abstracts/19950311059.html;jsessionid=29E71E5AC17EB83A90FFDC338F8140D5","Pycnonotus xanthopygos, Turdus merula","Morus nigra, Solanum luteum","Isreal","Isreal","Mainland","Old World","Mainland","yes","yes","Ingestion improved germination, but the more seeds defecated together led to lower germination"
"86","Cochrane Journal of Tropical Ecology 2003","Cochrane","The need to be eaten: Balanites wilsoniana with and without elephant seed-dispersal","Journal of Tropical Ecology",2003,"http://www.jstor.org.proxy.lib.iastate.edu/stable/4092005","African Elephants","Balanites wilsoniana","Uganda","Uganda","Mainland","Old World","Mainland","no","yes","Ingeston increased germination"
"87","Nchanji, A. Journal of Tropical Ecology 2003","Nchanji, A.","Seed germination and early seedling establishment of some elephant-dispersed species in Banyang-Mbo Wildlife Sanctuary, south-western Cameroon","Journal of Tropical Ecology",2003,"http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=149307&fileId=S0266467403003262","African Elephants","Anonidium mannii, Antrocaryon micraster, Detarium macrocarpa, Dovyalis zenkeri, Duboscia viridiflora, Irvingia gabonensis, Irvingia grandifolia, Klainedoxa gabonensis, Mammea africana, Myrianthus arboreus, Omphalocarpu elatum, Strychnos aculeata, Panda oleosa, Poga oleaosa","Southwest Cameroon","Cameroon","Mainland","Old World","Mainland","no","yes","Ingestion increased germination rate and seedling growth rate"
"88","Pratolongo, P. Forest Ecology and Management 2003","Pratolongo, P.","Comparative analysis of variables associated with germination and seedling establishment for Prosopis nigra (Griseb.) Hieron and Acacia caven (Mol.) Mol.","Forest Ecology and Management",2003,"http://www.sciencedirect.com/science/article/pii/S0378112702005455","Greater rhea (Rhea americana)","Prosopis nigra (Griseb.) Hieron and Acacia caven (Mol.)","Entre Ri´os province, Argentina","Argentina","Mainland","New World","Mainland","no","yes","Ingestion lowered germination success, but caused seeds to germinate more quickly"
"89","Calvino-Cancela, M. Acta Oecologica 2004","Calvino-Cancela, M.","Ingestion and dispersal: direct and indirect effects of frugivores on seed viability and germination of Corema album(Empetraceae)","Acta Oecologica",2004,"http://www.sciencedirect.com/science/article/pii/S1146609X04000293","gulls, blackbirds, rabbits","Corema album(Empetraceae)","Figueiras and Muxieiro sand dunes in the Cíes Islands , Spain","Spain","Island","Old World","Island","no","yes","Ingestion had no effect on germination. "
"90","Cordeiro, N. Journal of Tropical Ecology 2004","Cordeiro, N.","Role of dispersal in the invasion of an exotic tree in an East African submontane forest","Journal of Tropical Ecology",2004,"http://www.jstor.org.proxy.lib.iastate.edu/stable/4091857?seq=1#page_scan_tab_contents","silvery-cheeked hornbill (Ceratogymna brevis)","Maesopsis eminii (Rhamnaceae)","Tanzania","Tanzania","Mainland","Old World","Mainland","no","yes","Gut passage did not affect germination"
"91","Yagihashi, T. Oecologia 1998","Yagihashi, T.","Effects of Bird Ingestion on Seed Germination of Sorbus commixta","Oecologia",1998,"http://www.jstor.org/stable/4221919?seq=1#page_scan_tab_contents","Turdus naumanni","Sorbus commixta","Hokkaido , Japan","Japan","Island","Old World","Island","yes","yes","Ingestion increased germination by removing pulp"
"92","Liu, H. Oecologia 2004","Liu, H.","Seed dispersal by the Florida box turtle (Terrapene carolina bauri) in pine rockland forests of the lower Florida Keys, United States","Oecologia",2004,"http://link.springer.com/article/10.1007/s00442-003-1445-7","Florida box turtle (Terrapene carolina bauri)","Thrinax morrissii, Serenoa repens, Byrsonima lucida","pine rockland forests of the lower Florida Keys","United States","Island","New World","Island","no","yes","Passage through the box turtle digestive tract greatly enhanced the germination percentage and germination rate of S. repens, but decreased the germination percentage of B. lucida and T. morrissii, and decreased germination rate for T. morrissii. "
"93","Yagihashi, T. Ecological Research 1999","Yagihashi, T.","Effects of bird ingestion on seed germination of two Prunus species with different fruit-ripening seasons","Ecological Research",1999,"http://onlinelibrary.wiley.com/doi/10.1046/j.1440-1703.1999.141278.x/abstract","Turuds chrysolaus, Sturnus philippensis, Sturnus cineraceus, Turdus naumanni","Prunus sargentii, Prunus ssiori","Hokkaido, Japan","Japan","Island","Old World","Island","yes","yes","Ingestion increased germination by removing pulp"
"94","Otani, T. Ecological Research 2000","Otani, T.","Seed dispersal and predation by Yakushima macaques, Macaca fuscata yakui, in a warm temperate forest of Yakushima Island, southern Japan","Ecological Research",2000,"http://onlinelibrary.wiley.com/doi/10.1046/j.1440-1703.2000.00330.x/full","Yakushima macaques, (Macaca fuscata yakui)","Ficus thunbergii, Eurya japonica, and Vaccinium bracteatum,  Psychotria serpens, Myrsine seguinii, Diospyros morrisiana, Neolitsea sericea","Yakushima Island, southern Japan","Japan","Island","Old World","Island","yes","yes","The germination of dispersed seeds of Ficus thunbergii, Eurya japonica, and Vaccinium bracteatum, was significantly enhanced by passage through the macaques’ gut. The enhanced germination behavior was not seen in larger seeds, such as those of Psychotria serpens, Myrsine seguinii, Diospyros morrisiana, and Neolitsea sericea."
"95","Otani, T. Ecological Research 2004","Otani, T.","Effects of macaque ingestion on seed destruction and germination of a fleshy-fruited tree, Eurya emarginata","Ecological Research",2004,"http://onlinelibrary.wiley.com/doi/10.1111/j.1440-1703.2004.00663.x/full","Japanese macaques","Eurya emarginata"," Primate Research Institute of Kyoto University","Japan","Mainland","Old World","Mainland","yes","yes","Gut passage had no effect on germination. If anything it went down"
"96","Wehncke, Elizabet Journal of Tropical Ecology 2004","Wehncke, Elizabet","Seed dispersal and defecation patterns of Cebus capucinus and Alouatta pallita: consequences for seed dispersal effectiveness","Journal of Tropical Ecology",2004,"http://journals.cambridge.org/action/displayAbstract?fromPage=online&aid=240815&fileId=S0266467404001865","Howler Monkeys (Alouatta palliata), white-faced monkeys (Cebus capucinus)","Acacia collinsii.","Costa Rica","Costa RIca","Mainland","New World","Mainland","no","yes","Seeds in scattered feces had higher germination rates than in clumped feces"
"97","Cochrane, J Journal of the Royal Society of Western Australia 2005","Cochrane, J","Endozoochory and the Australian bluebell: consumption of Billardiera fusiformis (Labill.) Payer (Pittosporaceae) seeds by three mammal species at Two Peoples Bay Nature Reserve, Western Australia.","Journal of the Royal Society of Western Australia",2005,"http://www.rswa.org.au/publications/Journal/88(4)/vol88pt4cochraneetal191-196.pdf","quokka (Setonix brachyurus), Gilbertís potoroo (Potorous gilbertii), bush rat (Rattus fuscipes)","Billardiera fusiformis","Two Peoples Bay Nature Reserve, Western Australia.","Australia","Mainland","Old World","Mainland","no","yes","Ingestion increased germination"
"98","Nogales, M. Functional Ecology 2005","Nogales, M. ","Effect of Native and Alien Vertebrate Frugivores on Seed Viability and Germination Patterns of Rubia fruticosa (Rubiaceae) in the Eastern Canary Islands","Functional Ecology",2005,"http://www.jstor.org.proxy.lib.iastate.edu/stable/3599136?seq=1#page_scan_tab_contents","Gallotia, Sylvia, Atlantoxerus, Oryctolagus, Corvus, Larus","Rubia fruticosa","Canary Islands","Spain","Island","Old World","Island","no","yes","Ingestion by native birds and lizards helped germination, whereas ingestion by invasive mammals had lower germination. Seeds that passed through the gut had thinner seed coats. "
"99","Nogales, M. Functional Ecology 2005","Nogales, M. ","Effect of native and alien vertebrate frugivores on seed viability and germination patterns of Rubia fruticosa (Rubiaceae) in the eastern Canary Islands","Functional Ecology",2005,"http://onlinelibrary.wiley.com/doi/10.1111/j.0269-8463.2005.00975.x/full","Spectacled and Sardinian Warblers (Sylvia conspicillata Temminck and Sylvia melanocephala Gmelin), Gallotia atlantica, Barbary Ground Squirrel (Atlantoxerus getulus L),  rabbits (Oryctolagus cuniculus), Raven (Corvus corax L.)","Rubia fruticosa (Rubiaceae) ","Canary Islands","Spain","Island","Old World","Island","no","yes","Native birds and lizard ingestion had no effect on germination, but ingestion by invasive mammals decreased germination"
"100","Nakamoto, A. Tropics 2008","Nakamoto, A.","Feeding effects of Orii’s flying-fox (Pteropus dasymallus inopinatus) on seed germination of subtropical trees on Okinawa-jima Island","Tropics",2008,"https://www.jstage.jst.go.jp/article/tropics/17/1/17_1_43/_article","Orii’s flying-fox (Pteropus dasymallus inopinatus)","Ficus microcarpa, Ficus erecta, Ficus septica, Ficus benguetensis, Ficus superba, Ficus virgata, Morus australis, Acitnidia ruga, Calophyllum inophyllum, Elaeagnus glabra, Terminalia catappa","Okinawa-jima Island","Japan","Island","Old World","Island","yes","yes","Ingestion had no effect on germination"
"101","Lehouck, V. Plant Ecology and Evolution 2011","Lehouck, V.","Avian fruit ingestion differentially facilitates seed germination of four fleshy-fruited plant species of an Afrotropical forest","Plant Ecology and Evolution",2011,"http://www.ingentaconnect.com/content/botbel/plecevo/2011/00000144/00000001/art00008","Andropadus milanjensis, Turdus helleri, Tauraco hartlaubi, Andropadus milanjensis","Turraea holstii, Xymalos monospora, Psychotria lauracea, Leptonychia usambarensis, Xymalos monospora","south-east Kenya","Kenya","Mainland","Old World","Mainland","yes","yes","Ingestion removed pulp so germination of Xymalos monospora seeds was up to nine times more likely and almost twice as fast after bird ingestion compared to intact fruits. An increase in germination capacity, but not in mean germination time, was also detected in four sympatric plant species after ingestion by Andropadus milanjensis."
"102","Silverstein, R. The Southwestern Naturalist 2005","Silverstein, R.","GERMINATION OF NATIVE AND EXOTIC PLANT SEEDS DISPERSED BY COYOTES (CANIS LATRANS) IN SOUTHERN CALIFORNIA","The Southwestern Naturalist",2005,"http://www.bioone.org/doi/abs/10.1894/0038-4909(2005)050%5B0472:GONAEP%5D2.0.CO%3B2","COYOTES (CANIS LATRANS)","Annona cherimola, Arctostaphylos glauca, Arctostaphylos sp., Cucumis sp., Ficus sp., Gragaria sp., Heteromeles arbutifolia, Lycopersicon esculentum, Opuntia littoralis, Panicum miliaceum, Phoenix sp., Prosopis glandulosa, Prunus ilicifolia, Prunus sp., Pyracantha sp., Vitis sp.","southern California","United States","Mainland","New World","Mainland","no","yes","Ingestion helped some species germinate (Opuntia) but hurt others. "
"103","Bartuszevige Biological invasions 2006","Bartuszevige","Avian seed dispersal of an invasive shrub","Biological invasions",2006,"http://link.springer.com/article/10.1007/s10530-005-3634-2","American robins, cedar waxwings","Lonicera maackii","Easten North America","United States","Mainland","New World","Mainland","no","yes","Waxwing ingestion caused lower germination rates, Robin ingestion had no effect"
"104","Bas, J. Plant Ecology 2006","Bas, J.","Exclusive frugivory and seed dispersal of Rhamnus alaternus in the bird breeding season","Plant Ecology",2006,"http://link.springer.com/article/10.1007/s11258-005-9008-0","Sylvia melanocephala","Rhamnus alaternus","Iberian Peninsula","Spain","Mainland","Old World","Mainland","no","yes","Seeds removed from pulp with forceps had higher emergence percentages (44.0%) than seeds in intact fruits (17.8%) (v2 =15.8, p<0.001)."
"105","J. Strong Biotropica 2006","J. Strong ","Seed Dispersal by Geochelone carbonaria and Geochelone denticulata in Northwestern Brazil","Biotropica",2006,"http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2006.00185.x/full","red-footed tortoises (Geochelone carbonaria), yellow-footed tortoises (G. denticulata)","Ficus sp. (Moraceae), Aechmea sp. (Bromeliaceae) sp., and Genipa americana (Rubiaceae)","Brazil","Brazil","Mainland","New World","Mainland","no","no","opened seeds to see if they were viable after gut passage. 91-100% of seeds were viable. "
"106","Logan, D. New Zealand Journal of Ecology 2006","Logan, D.","Germination of kiwifruit, Actinidia chinensis, after passage through Silvereyes, Zosterops lateralis
 ","New Zealand Journal of Ecology",2006,"http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.376.786&rep=rep1&type=pdf","Silvereyes, Zosterops lateralis","kiwifruit (Actinidia chinensis)","New Zealand","New Zealand","Island","Old World","Island","no","yes","Ingested and enzyme-extracted seed sown in trays in a glasshouse had nearly identical percentage germination (63.7% and 64.7% respectively) after 71 days. No seed germinated from intact fruit or fruit slices during the experiment. Gut-passage accelerated the germination rate compared with enzyme-extracted seed."
"107","Nogales, M. Journal of Arid Environments 2006","Nogales, M. ","Native dispersers induce germination asynchrony in a macaronesian endemic plant (Rubia fruticosa, Rubiaceae) in xeric environments of the Canary Islands","Journal of Arid Environments",2006,"http://www.sciencedirect.com/science/article/pii/S0140196305001400","birds, lizards","Rubia fruticosa","Canary Islands","Spain","Island","Old World","Island","no","yes","Ingested seeds germinated before other seeds"
"108","Andriantsaralaza, S. African Journal of Ecology 2014","Andriantsaralaza, S.","The role of extinct giant tortoises in the germination of extant baobabAdansonia rubrostipa seeds in Madagascar","African Journal of Ecology",2014,"http://onlinelibrary.wiley.com/doi/10.1111/aje.12101/full","Aldabran giant tortoise (Aldabrachelys gigantea)","Adansonia rubrostipa","Madagascar","Madagascar","Island","Old World","Island","yes","yes","Gut passage increased germination by removing the pulp"
"109","Shanahan Biotropica 2000","Shanahan","Fig-Eating by Bornean Tree Shrews (Tupaia spp.): Evidence for a Role as Seed Dispersers1","Biotropica",2000,"http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2000.tb00525.x/abstract","lesser tree shrews ","Ficus montana","Sarawak, Malaysia","Malaysia","Mainland","Old World","Mainland","yes","yes","Ingestion had no effect on germination"
"110","Alves-Costa, C.  2007","Alves-Costa, C.","Seed dispersal services by coatis (Nasua nasua, Procyonidae) and their redundancy with other frugivores in southeastern Brazil",NA,2007,"http://www.sciencedirect.com/science/article/pii/S1146609X0700032X","coatis (Nasua nasua, Procyonidae) ","Casearia lasiphylla, Cecropia pachstachya, Ficus obtusifolia, Guazuma ulmifolia, Lithraea molleoides, Myrcia guajavaefolia","Minas Gerais in southeastern Brazil ","Brazil","Mainland","New World","Mainland","no","yes","Passage through coatis gut did not alter speed or success of seed germination of tested species, except for Myrcia guajavaefolia"
"111","Moolna, A. African Journal of Ecology 2008","Moolna, A."," Preliminary observations indicate that giant tortoise ingestion improves seed germination for an endemic ebony species in Mauritius","African Journal of Ecology",2008,"http://giant-tortoise.co.uk/pdf/ebony.pdf","Aldabra giant tortoise (Geochelone gigantea Schweigger)","Mauritian ebony (Diospyros egrettarum)","Mauritius","Mauritius","Island","Old World","Island","yes","yes","Ingestion increased germination"
"112","Linnebjerg, J. Austral Ecology 2009","Linnebjerg, J.","Gut passage effect of the introduced red-whiskered bulbul (Pycnonotus jocosus) on germination of invasive plant species in Mauritius","Austral Ecology",2009,"http://onlinelibrary.wiley.com/doi/10.1111/j.1442-9993.2008.01928.x/full","red-whiskered bulbul (Pycnonotus jocosus)","Ligustrum robustum, Clidemia hirta","Mauritius","Mauritius","Island","Old World","Island","yes","yes","Gut passage and hand-cleaning had significant positive effects on germination of both species. Gut-passed seeds of both C. hirta and L. robustum germinated faster than hand-cleaned seeds. However, for L. robustum, this was only true when compared with hand-cleaned seeds with intact endocarp; when compared with hand-cleaned seeds without endocarp, there was no difference. For overall germination success, there was a positive effect of gut passage for C. hirta, but not for L. robustum."
"113","Benítez-Malvido, J. Journal of Herpetology 2003","Benítez-Malvido, J.","Germination and Seed Damage in Tropical Dry Forest Plants Ingested by Iguanas","Journal of Herpetology",2003,"http://www.bioone.org/doi/abs/10.1670/0022-1511(2003)037%5B0301:GASDIT%5D2.0.CO%3B2","Iguana iguana, Ctenosaura pectinata","Cordia alba, Momordica charantia, Pithecellobium dulce, Lycopersicon esculentum","Mexico","Mexico","Mainland","New World","Mainland","yes","yes","germination rate was significantly higher for ingested seeds than for control seeds, except for M. charantia, where no seed germinated"
"114","Righini, N. Zoo Biology 2004","Righini, N.","Effect of different primate species on germination of Ficus (Urostigma) seeds","Zoo Biology",2004,"http://onlinelibrary.wiley.com/doi/10.1002/zoo.20008/abstract","Papio hamadryas, Cercopithecus aethiops, Alouatta pigra, Pan troglodytes, Pongo pygmaeus","Ficus","Africam Safari Zoo, Puebla, Mexico.","Mexico","Mainland","New World","Mainland","yes","yes","Seeds defecated by Alouatta palliata, A. pigra, and Cercopithecus aethiops showed significantly higher germination rates than control seeds. In addition, seeds from A. palliata feces germinated significantly faster than control seeds and seeds from C. aethiops and Pan troglodytes"
"115","Celedon-Neghme, C. Acta Oecologica 2008","Celedon-Neghme, C.","Legitimate seed dispersal by lizards in an alpine habitat: The case of Berberis empetrifolia (Berberidaceae) dispersed byLiolaemus belii (Tropiduridae)","Acta Oecologica",2008,"http://www.sciencedirect.com/science/article/pii/S1146609X08000131","lizard (Liolaemus belii)","Berberis empetrifolia","Andes of central Chile","Chile","Mainland","New World","Mainland","no","yes","The germination rate and the final percentage of lizard-ingested B. empetrifolia seeds was greater than control seeds."
"116","Foster, M. Jouranl of Tropical Ecology 2008","Foster, M.","Potential effects of arboreal and terrestrial avian dispersers on seed dormancy, seed germination and seedling establishment in Ormosia (Papilionoideae) species in Peru","Jouranl of Tropical Ecology",2008,"http://www.jstor.org/stable/25172974?seq=1#page_scan_tab_contents","birds","Ormosia macrocalyx, Ormosia bopiensi","Peru","Peru","Mainland","New World","Mainland","no","no","Simulated ingestion."
"117","Koike, S. Ecological Research 2008","Koike, S.","Fruit phenology of Prunus jamasakuraand the feeding habit of the Asiatic black bear as a seed disperser","Ecological Research",2008,"http://link.springer.com/article/10.1007/s11284-007-0399-3","Asiatic black bear (Ursus thibetanus)","Prunus jamasakura","Japan","Isreal","Island","Old World","Island","no","yes","Germination tests showed that ingestion of fruits by the bears caused no physical damage to the seeds. Ingested seeds did not show a significant difference in germination percentage from seeds, whose pulp was artificially removed."
"118","Kunz, B. Journal of Tropical Ecology 2008","Kunz, B.","The Role of the Olive Baboon (Papio anubis, Cercopithecidae) as Seed Disperser in a Savanna-Forest Mosaic of West Africa","Journal of Tropical Ecology",2008,"http://www.jstor.org.proxy.lib.iastate.edu/stable/25172921?seq=1#page_scan_tab_contents","Olive Baboon (Papio anubis, Cercopithecidae)","Afamomum excarpum, Cynometra megalophylla, Dialium guineense, Diospyros mespiliformis, Drypetes floribunda, Keetia sp., Lannea acida, Lannea barteri, Lannea welwitschii, Manilkara obovata, Oxyanthus racemosus, Parkia biglobosa, Pouteria alnifolia, Saba senegalensis, Sarcocephalus latifoius, Tamarindus indica, Tapura fischeri, Uapaca togoensis, Uvaria chamae","Comoe National Park, West Africa",NA,"Mainland","Old World","Mainland","no","yes","Ingestion had varying effects"
"119","Lapenta, MJ Brazilian Journal of Biology 2008","Lapenta, MJ","Frugivory and seed dispersal of golden lion tamarin (Leontopithecus rosalia (Linnaeus, 1766)) in a forest fragment in the Atlantic Forest, Brazil","Brazilian Journal of Biology",2008,"http://www.scielo.br/scielo.php?pid=S1519-69842008000200004&script=sci_arttext&tlng=es","golden lion tamarin (Leontopithecus rosalia (Linnaeus, 1766))","Tapirira guianensis, Rollinia dolabripetala, Cecropis hololeuca, Cecropia pachystachya, Pourouma guianensis, Euphorbiaceae sp., Inga thibaudiana, Inga edulis, Miconia hypoleuca, Miconia latecrenata, Miconia lepidota, Henriettea saldanhei, Calyptranthes lucida, Myrcia sp., Marlierea sp., Myrtaceae sp., Campomanesia eugenioides, Passiflora rhamnifolia, Tocoyena brasiliensis, Randia sp. POsoqueria latifolia, Sarcaulus brasiliensis, Micropholis gardneriana","Atlantic Forest, Brazil","Brazil","Mainland","New World","Mainland","no","yes","Ingestion helped germiniaton in some species, but not in others"
"120","Lara, C. Ecoscience 2009","Lara, C.","Provenance, guts, and fate: Field and experimental evidence in a host-mistletoe-bird system","Ecoscience",2009,"http://www.tandfonline.com/doi/abs/10.2980/16-3-3235","grey silky-flycatchers (Ptilogonys cinereus)","Crataegus pubescens, Prunus serótina, Salix bonplandiana ","Tlaxcala City, Tlaxcala, Mexico","Mexico","Mainland","New World","Mainland","yes","yes","Seed germination and seedling establishment were more likely when seeds were gut processed by birds"
"121","Dinerstein Ecology 1988","Dinerstein","Fruits Rhinoceros eat: Dispersal of Trewia nudiflora (Euphorbiaceae) in lowland Nepal","Ecology",1988,"http://www.jstor.org/stable/1941155?seq=1#page_scan_tab_contents","One horned Asian Rhinoceros (Rhinoceros unicornis)","Trewia nudiflora","Nepal","Nepal","Mainland","Old World","Mainland","yes","yes","Rhinos moved seeds out into grasslands were they then germinated quickly. Unigested fruits did not lose their hard coating and thus couldn't germinate"
"122","Tassin,J. Pacific Science 2010","Tassin,J.","Can Ptilinopus greyii (Columbidae) Disperse Seeds in New Caledonia's Dry Forests?","Pacific Science",2010,"http://www.bioone.org/doi/abs/10.2984/64.4.527","red-bellied fruit-dove (Ptilinopus greyii)","Mimusops elengi, Diospyros fasciculosa, Vitex  collina ","New Caledonia","New Caledonia","Island","Old World","Island","yes","yes","gut passage enhanced seed germination for Diospyros fasciculosa and Mimusops elengi but not for Vitex cf. collina"
"123","Tassin, J. Journal of Tropical Ecology 2008","Tassin, J.","Effect of Ingestion by Drepanoptila holosericea (Columbidae) on the Seed Germination of Santalum austrocaledonicum (Santalaceae)","Journal of Tropical Ecology",2008,"http://www.jstor.org/stable/25172914?seq=1#page_scan_tab_contents","Drepanoptila holosericea","Santalum austrocaledonicum","New Caledonia and Vanuat","New Caledonia and Vanuatu","Island","Old World","Island","yes","yes","Ingestion helped germination"
"124","Clout, M. New Zealand Journal of Botany 1991","Clout, M.","Germination of miro (Prumnopitys ferruginea) seeds after consumption by New Zealand pigeons (Hemiphaga novaeseelandiae)","New Zealand Journal of Botany",1991,"http://www.tandfonline.com/doi/abs/10.1080/0028825X.1992.10412882","New Zealand pigeons (Hemiphaga novaeseelandiae)","miro (Prumnopitys ferruginea)","New Zealand","New Zealand","Island","Old World","Island","yes ","yes","Ingestion had no effect on germination"
"125","Williams, P. Austral Ecology 2000","Williams, P.","Small mammals as potential seed dispersers in New Zealand","Austral Ecology",2000,"http://onlinelibrary.wiley.com.proxy.lib.iastate.edu/doi/10.1046/j.1442-9993.2000.01078.x/abstract","Mice, kiore, ship rats, possums","Berberis glaucocarpa, Cotoneasterspp., Crataegus monogyna, Illex aquifolium, Leycesteria formosa, Ligustrum sinense, Lonicera japonica, Passiflora mollissima, Pyracantha angustifolia, Sorbus hupehensis, Coprosma spp., Prumnopitys ferruginea, Solanum aviculare","New Zealand","New Zealand","Island","Old World","Island","yes","yes","Ingestion decreased germination, but didn't kill the seed when it came to possums. Other small mammals killed the seeds."
"126","Peguero, G. Biotropica 2014","Peguero, G.","Endozoochory and Fire as Germination Triggers in Neotropical Dry Forests: an Experimental Test","Biotropica",2014,"http://onlinelibrary.wiley.com/doi/10.1111/btp.12076/full","cattle","Acacia pennatula, Enterolobium cyclocarpum, Guazuma ulmifolia","NW Nicaragua","Nicaragua","Mainland","New World","Mainland","yes","yes","Gut passage had no effect on germination. "
"127","Zhou, Y. Forest Ecology and Management 2008","Zhou, Y.","Frugivory and seed dispersal by a small carnivore, the Chinese ferret-badger, Melogale moschata, in a fragmented subtropical forest of central China","Forest Ecology and Management",2008,"http://www.sciencedirect.com/science/article/pii/S0378112707008870","ferret-badger, Melogale moschata","Clematoclethra scandens, Actinidia chinensis, Hovenia dulcis, Dendrobenthamia japonica","central China","China","Mainland","Old World","Mainland","no","yes"," Five out of six dominant species had seeds germinate successfully from faecal samples. Only the germination of D. lotus seeds were lower than expected by comparison to the control seeds. By contrast, ingested seeds of Hovenia dulcis had higher germination rates than in control samples, but no statistical differences were detected."
"128","Heer, K. Oecologia 2010","Heer, K.","Effects of ingestion by neotropical bats on germination parameters of native free-standing and strangler figs (Ficus sp., Moraceae)","Oecologia",2010,"http://download.springer.com/static/pdf/829/art%253A10.1007%252Fs00442-010-1600-x.pdf?originUrl=http%3A%2F%2Flink.springer.com%2Farticle%2F10.1007%2Fs00442-010-1600-x&token2=exp=1456198943~acl=%2Fstatic%2Fpdf%2F829%2Fart%25253A10.1007%25252Fs00442-010-1600-x.pdf%3ForiginUrl%3Dhttp%253A%252F%252Flink.springer.com%252Farticle%252F10.1007%252Fs00442-010-1600-x*~hmac=0e72bdee8b4a7354760907ef0f59865684ac14b153e4d08b3897e50af2a82107","Artibeus jamaicensis","Ficus insipida, Ficus maxima, Ficus yoponensis, Ficus nymphiifolia, Ficus obtusifolia, Ficus popenoei","Panama","Panama","Mainland","New World","Mainland","yes","yes","Ingestion greatly improved germination by removing pulp, otherwise the fruit was rotted by fungus and the seed died."
"129","Bravo Biotropica 2009","Bravo","Implications of Behavior and Gut Passage for Seed Dispersal Quality: The Case of Blackand Gold Howler Monkeys","Biotropica",2009,"http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2009.00538.x/full","howler monkeys","Banara arguta, Ocotea dispyrifolia, Eugenia punicifolia, Cecropia","Brasiler Island, Argentina","Argentina","Island","New World","Island","no","yes","Germination speed increased significantly in ingested seeds of Banara arguta, Ocotea diospyrifolia and Eugenia punicifolia"
"130","Anderson, J. Oecologia 2009","Anderson, J.","High-Quality Seed Dispersal by Fruit-Eating Fishes in Amazonian Floodplain Habitats","Oecologia",2009,"http://www.jstor.org.proxy.lib.iastate.edu/stable/pdf/40310200.pdf","Colossoma macropomum, Piaractus brachypomu","Cecropia spp.a, Duroia duckei, Bactris maraja, Bacins bidentula, Crateva tapia, Cayaponía cruegeri, Annona muricata, Cayaponia tubulosa, Genipa spruceana, Ternstroemia penduliflora, Leona glycycarpa, Dulacia candida, Carica microcarpa","Pacaya-Samiria, a 21,924-km2 blackwater National Reserve in northeastern Peru","Peru","Mainland","New World","Mainland","yes","yes","Ingestion greatly increased germination removing pulp"
"131","Campos-Arceiz Biotropica 2012","Campos-Arceiz","Asian tapirs are no elephans when it comes to seed dispersal","Biotropica",2012,"http://onlinelibrary.wiley.com/doi/10.1111/j.1744-7429.2011.00784.x/full","malayan tapir","mango, durian, chempedak, rambutan, mangosteen, tamarind, longan, dillenia, papapya","Singapore","Singapore","Mainland","Old World","Mainland","yes","yes","Only small seeds that were ingested germinated, large and medium size seeds did not. Malayan tapirs effectively dispersed small-seeded plants but acted as seed predators for the large-seeded plants"
"132","Fedriani, J. Ecography 2009","Fedriani, J.","Functional diversity in fruit-frugivore interactions: a field experiment with Mediterranean mammals","Ecography",2009,"http://onlinelibrary.wiley.com/doi/10.1111/j.1600-0587.2009.05925.x/full","Meles meles, Vulpes vulpes, Sus scrofa, Oryctolagus cuniculus","Corema album, Pyrus bourgaeana, Rubus ulmifolius","Doñana National Park (510 km2; 37°9'N, 6°26'W; elevation 0–80 m), located on the right bank of the Guadalquivir delta in southwestern Spain",NA,"Mainland","Old World","Mainland","no","yes","Ingestion had different effects for each type of plant depending on the species and depending on the disperser."
